Designator,Footprint,Quantity,Value,LCSC Part #
AZ1UBALL_L1,AZ1UBALL,1,AZ1UBALL,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D3, D4, D5, D6, D7, D8, D9",Diode_SMD,24,D,
JACK1,TRRS_MJ-4PP-9,1,MJ-4PP-9,
"L1, L10, L11, L12, L13, L14, L15, L16, L17, L18, L19, L2, L20, L21, L3, L4, L5, L6, L7, L8, L9",YS-SK6812MINI-E,21,YS-SK6812MINI-E,
OLED_L1,OLED,1,OLED,
Q1,SOT-23_Handsoldering,1,BSS138,
R1,Resistor-Hybrid-Back,1,1k,
R2,Resistor-Hybrid-Back,1,560,
RESET_SW1,SW_Tactile_SPST_Angled_PTS645Vx39-2LFS,1,SW_Push,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW2, SW20, SW21, SW22, SW3, SW4, SW5, SW6, SW8, SW9",MX1U_Hotswap,20,SW_Push,
SW19,MX1U_Hotswap_RE,1,SW_Push,
"SW23, SW24, SW7_2",EC12RE,3,RotaryEncoder_Switch,
SW7,THQWGD001,1,RotaryEncoder_Switch,
U1,RP2040Promicro,1,RP2040Promicro,
